2015-01-30,12:46:44,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:47:34,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:48:16,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:49:06,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:49:48,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:50:41,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:51:19,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:52:15,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:52:51,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:53:48,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:54:22,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:55:21,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:55:57,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:56:57,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:57:29,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,12:58:31,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,12:59:00,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:00:04,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,13:00:32,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:01:37,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,13:02:03,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:03:10,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,13:03:35,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:04:43,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,13:05:07,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:06:16,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,13:06:39,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:07:52,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
2015-01-30,13:08:13,4.57,0.00,nan,1.1,2.4,0,nan,nan,nan,nan,nan
2015-01-30,13:09:26,4.55,0.00,nan,1.0,2.3,0,nan,nan,nan,nan,nan
